timestamp,latitude,longitude,direction,speed_horizontal,speed_vertical,altitude,height
0.0,35.67620559419126,139.65030072381444,6.0,1.25,2.5,41.25,1.25
0.5,35.67621659836277,139.65030360321174,12.0,2.5,2.5,42.5,2.5
1.0,35.67623264745753,139.65031002263933,18.0,3.75,2.5,43.75,3.75
1.5,35.676253202250884,139.65032128854153,24.0,5.0,2.5,45.0,5.0
2.0,35.67627268784195,139.6503351376776,30.0,5.0,2.5,46.25,6.25
2.5,35.67629089074253,139.65035141831342,36.0,5.0,2.5,47.5,7.5
3.0,35.67630808856351,139.65036927830695,40.15108151172811,5.0,2.5,48.75,8.75
3.5,35.67632528638448,139.6503871383005,40.15108151172811,5.0,2.5,50.0,10.0
4.0,35.67634248420546,139.65040499829402,40.15108151172811,5.0,2.5,51.25,11.25
4.5,35.67635968202644,139.65042285828756,40.15108151172811,5.0,2.5,52.5,12.5
5.0,35.67637687984742,139.6504407182811,40.15108151172811,5.0,2.5,53.75,13.75
5.5,35.6763940776684,139.65045857827462,40.15108151172811,5.0,2.5,55.0,15.0
6.0,35.67641127548937,139.65047643826816,40.15108151172811,5.0,2.5,56.25,16.25
6.5,35.67642847331035,139.65049429826166,40.15108151172811,5.0,0.2828635368402104,56.391431768420105,16.391431768420105
7.0,35.676445671131326,139.6505121582552,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
7.5,35.67646286895231,139.65053001824873,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
8.0,35.67648006677328,139.65054787824226,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
8.5,35.67649726459426,139.6505657382358,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
9.0,35.676514462415234,139.65058359822933,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
9.5,35.676531660236215,139.65060145822287,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
10.0,35.676548858057195,139.6506193182164,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
10.5,35.67656605587817,139.65063717820993,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
11.0,35.67658325369915,139.65065503820347,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
11.5,35.67660045152012,139.650672898197,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
12.0,35.676617649341104,139.65069075819054,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
12.5,35.67663484716208,139.65070861818407,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
13.0,35.67665204498306,139.6507264781776,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
13.5,35.67666924280403,139.6507443381711,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
14.0,35.67668644062501,139.65076219816464,40.15108151172811,5.0,0.0,56.391431768420105,16.391431768420105
